identificador_edital_entrega,tipo_entrega,segmento_cultural_entrega,medidas_acessibilidade,cep_local_entrega,publico_alcancado_entrega
Edital-PNAB-2025-013,Álbum musical,Outros,"Elevadores adequados para pessoas com deficiência, Audiodescrição, Sistema Braille, Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural",,971
Edital-PNAB-2025-011,Blog / Site,Festas e Celebrações,,50615-939,1098
Edital-PNAB-2025-015,Livro,Museu,"Legendas, Audiodescrição, Capacitação de equipes atuantes nos projetos culturais, Iluminação adequada",,92
Edital-PNAB-2025-004,Desfile,Teatro,"Legendas, Assentos para pessoas obesas, Capacitação de equipes atuantes nos projetos culturais",45587716,1279
Edital-PNAB-2025-015,Festa Popular,Acervos,"Banheiros femininos e masculinos adaptados para pessoas com deficiência, Linguagem simples, Vagas de estacionamento para pessoas com deficiência",,756
Edital-PNAB-2025-004,Digitalização de acervos,Cultura dos Povos Originários,"Outra acessibilidade comunicacional, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Textos adaptados para leitores de tela",,421
Edital-PNAB-2025-015,Desfile,Patrimônio Cultural Imaterial,"Linguagem simples, Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural",47598-762,1487
Edital-PNAB-2025-001,Filme de média-metragem ou telefilme,Artes Visuais,"Assentos para pessoas obesas, Outra acessibilidade arquitetônica, Outras medidas que visem a eliminação de atitudes capacitistas., Capacitação de equipes atuantes nos projetos culturais",02341326,785
Edital-PNAB-2025-005,Melhoria em espaço cultural,Festas e Celebrações,"Sistema Braille, Legendas, Iluminação adequada",,657
Edital-PNAB-2025-007,Curso / Oficina / Workshop,Artesanato,"Elevadores adequados para pessoas com deficiência, Outra acessibilidade comunicacional, Banheiros femininos e masculinos adaptados para pessoas com deficiência",14921643,422
Edital-PNAB-2025-011,Intercâmbio,Cultura dos Povos Originários,"Elevadores adequados para pessoas com deficiência, Vagas de estacionamento para pessoas com deficiência, Outra acessibilidade arquitetônica",47228200,495
Edital-PNAB-2025-002,Circulação / Turnê,Acervos,"Iluminação adequada, Piso tátil",,141
Edital-PNAB-2025-014,Livro eletrônico (e-Book),Patrimônio Cultural Material,"Elevadores adequados para pessoas com deficiência, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Capacitação de equipes atuantes nos projetos culturais, Outra acessibilidade arquitetônica",,991
Edital-PNAB-2025-010,Filme de média-metragem ou telefilme,Dança,,99796884,135
Edital-PNAB-2025-008,Intercâmbio,Teatro,,78317-456,1037
Edital-PNAB-2025-009,Pesquisa,Audiovisual,,24008-254,1182
Edital-PNAB-2025-011,Ensaio fotográfico,Artes Visuais,Outra acessibilidade comunicacional,80774-064,882
Edital-PNAB-2025-001,Podcast/ Programa de TV ou Rádio,Patrimônio Natural,"Legendas, Outra acessibilidade arquitetônica, Capacitação de equipes atuantes nos projetos culturais, Audiodescrição",08536866,655
Edital-PNAB-2025-003,Residência Artística,Arquivos,Vagas de estacionamento para pessoas com deficiência,,1311
Edital-PNAB-2025-007,Digitalização de acervos,Patrimônio Arqueológico,,,521
Edital-PNAB-2025-010,Melhoria em espaço cultural,Artes Visuais,,26634163,866
Edital-PNAB-2025-004,Videoclipe / Album visual,Culturas Tradicionais e Populares,,,620
Edital-PNAB-2025-015,Livro eletrônico (e-Book),Artes Visuais,"Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Capacitação de equipes atuantes nos projetos culturais, Outras medidas que visem a eliminação de atitudes capacitistas.",,435
Edital-PNAB-2025-008,Audiolivro,Mediação e formação de leitores,"Iluminação adequada, Corrimãos e guarda-corpos",02080-214,176
Edital-PNAB-2025-011,Caderno / Cartilha / Apostila,Performance,"Legendas, Elevadores adequados para pessoas com deficiência, Outra acessibilidade arquitetônica",,1463
Edital-PNAB-2025-010,Livro,Literatura,"Rampas, Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural, Piso tátil, Audiodescrição",,198
Edital-PNAB-2025-003,Podcast/ Programa de TV ou Rádio,Cultura dos Povos Originários,,27031-207,498
Edital-PNAB-2025-011,Pesquisa,Moda,"Capacitação de equipes atuantes nos projetos culturais, Piso tátil, Banheiros femininos e masculinos adaptados para pessoas com deficiência",56475705,993
Edital-PNAB-2025-001,Roteiro de filme ou episódio,Hip Hop,"Capacitação de equipes atuantes nos projetos culturais, Audiodescrição",,1330
Edital-PNAB-2025-008,Instalação artística / videoarte,Artes Visuais,"Língua Brasileira de Sinais - Libras, Outras medidas que visem a eliminação de atitudes capacitistas., Elevadores adequados para pessoas com deficiência, Banheiros femininos e masculinos adaptados para pessoas com deficiência",20461872,705
Edital-PNAB-2025-002,Videoclipe / Album visual,Jogos eletrônicos,"Outra acessibilidade comunicacional, Piso tátil, Legendas, Rampas",46013673,674
Edital-PNAB-2025-002,Escultura,Artesanato,"Textos adaptados para leitores de tela, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Outras medidas que visem a eliminação de atitudes capacitistas., Outra acessibilidade comunicacional",37183764,976
Edital-PNAB-2025-009,Aquisição de acervos e bens culturais,Circo,"Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Legendas, Piso tátil, Vagas de estacionamento para pessoas com deficiência",20881-474,576
Edital-PNAB-2025-011,Aula / Palestra / Conferência,Culturas Tradicionais e Populares,"Elevadores adequados para pessoas com deficiência, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural",50313650,520
Edital-PNAB-2025-013,Caderno / Cartilha / Apostila,Culturas Tradicionais e Populares,"Rampas, Assentos para pessoas obesas, Elevadores adequados para pessoas com deficiência, Legendas",,270
Edital-PNAB-2025-008,Blog / Site,Jogos eletrônicos,"Textos adaptados para leitores de tela, Iluminação adequada, Audiodescrição",49163009,1018
Edital-PNAB-2025-006,Desfile,Hip Hop,"Vagas de estacionamento para pessoas com deficiência, Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural, Textos adaptados para leitores de tela, Corrimãos e guarda-corpos",,172
Edital-PNAB-2025-001,Filme de curta-metragem,Performance,Outra acessibilidade arquitetônica,,641
Edital-PNAB-2025-007,Plataforma digital,Moda,"Corrimãos e guarda-corpos, Legendas, Outra acessibilidade comunicacional, Linguagem simples",,736
Edital-PNAB-2025-007,Melhoria em espaço cultural,Patrimônio Natural,"Língua Brasileira de Sinais - Libras, Vagas de estacionamento para pessoas com deficiência, Assentos para pessoas obesas, Capacitação de equipes atuantes nos projetos culturais",00528-127,814
Edital-PNAB-2025-014,Filme de curta-metragem,Arquivos,"Sistema de sinalização ou comunicação tátil, Outras medidas que visem a eliminação de atitudes capacitistas., Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Corrimãos e guarda-corpos",,1044
Edital-PNAB-2025-005,Aula / Palestra / Conferência,Literatura,"Elevadores adequados para pessoas com deficiência, Legendas, Textos adaptados para leitores de tela",,965
Edital-PNAB-2025-004,Blog / Site,Festas e Celebrações,"Rampas, Linguagem simples",,572
Edital-PNAB-2025-011,Residência Artística,Música,,,702
Edital-PNAB-2025-016,Série / websérie,Outros,"Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Linguagem simples, Outra acessibilidade comunicacional",40778487,103
Edital-PNAB-2025-008,Arte gráfica / Desenho / Gravura / Ilustração,Cultura de Matriz Africana,"Assentos para pessoas obesas, Rampas, Audiodescrição",92855749,231
Edital-PNAB-2025-009,Revista / Jornal / Periódico,Patrimônio Cultural Material,"Banheiros femininos e masculinos adaptados para pessoas com deficiência, Outra acessibilidade arquitetônica, Rotas acessíveis, com espaço de manobra para cadeira de rodas, Piso tátil",,694
Edital-PNAB-2025-008,Aquisição de acervos e bens culturais,Culturas Tradicionais e Populares,"Corrimãos e guarda-corpos, Assentos para pessoas obesas, Textos adaptados para leitores de tela, Audiodescrição",18274485,1189
Edital-PNAB-2025-010,Circulação / Turnê,Capoeira,,,1278
Edital-PNAB-2025-005,Festa Popular,Museu,"Capacitação de equipes atuantes nos projetos culturais, Corrimãos e guarda-corpos, Assentos para pessoas obesas, Legendas",,1336
Edital-PNAB-2025-011,Grafitti/Mural,Cultura dos Povos Originários,"Outra acessibilidade arquitetônica, Outras medidas que visem a eliminação de atitudes capacitistas., Outra acessibilidade comunicacional, Banheiros femininos e masculinos adaptados para pessoas com deficiência",08620-959,181
Edital-PNAB-2025-011,Feira,Moda,"Iluminação adequada, Legendas, Outra acessibilidade arquitetônica, Vagas de estacionamento para pessoas com deficiência",51863878,817
Edital-PNAB-2025-008,Intercâmbio,Artesanato,"Capacitação de equipes atuantes nos projetos culturais, Outra acessibilidade arquitetônica, Rotas acessíveis, com espaço de manobra para cadeira de rodas",94565118,1378
Edital-PNAB-2025-009,Livro,Acervos,Contratação de profissionais com deficiência e profissionais especializados em Acessibilidade cultural,02203173,200
Edital-PNAB-2025-001,Livro eletrônico (e-Book),Patrimônio Natural,"Assentos para pessoas obesas, Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Vagas de estacionamento para pessoas com deficiência",,1301
Edital-PNAB-2025-011,Série / websérie,Patrimônio Natural,"Formação e sensibilização de agentes culturais, público e todos os envolvidos na cadeia produtiva cultural, Elevadores adequados para pessoas com deficiência",09678994,1315
Edital-PNAB-2025-001,Apresentação ao vivo / Show,Culturas Tradicionais e Populares,Capacitação de equipes atuantes nos projetos culturais,53910371,777
Edital-PNAB-2025-003,Aula / Palestra / Conferência,Artes Visuais,"Audiodescrição, Banheiros femininos e masculinos adaptados para pessoas com deficiência, Vagas de estacionamento para pessoas com deficiência",05865-094,300
Edital-PNAB-2025-007,Manutenção de grupos / iniciativas / espaços culturais,Design,"Banheiros femininos e masculinos adaptados para pessoas com deficiência, Iluminação adequada, Linguagem simples",,634
Edital-PNAB-2025-005,Espetáculo cênico,Performance,,,184
Edital-PNAB-2025-011,Curso / Oficina / Workshop,Outros,"Outra acessibilidade comunicacional, Sistema Braille, Rampas, Sistema de sinalização ou comunicação tátil",,58
